Date,Train_No,Line,Station,Scheduled_Time,Actual_Time,Delay_Minutes,Is_Peak_Hour,Scheduled_DateTime,Actual_DateTime,Hour,Delay_Category
01-10-2025,90024,Western,Andheri,12.00.00 PM,12.01.00 PM,1,FALSE,01-10-2025 12.00,01-10-2025 12.01,12,On-Time / Minor
01-10-2025,11025,Central,Thane,12.30.00 PM,12.31.00 PM,1,FALSE,01-10-2025 12.30,01-10-2025 12.31,12,On-Time / Minor
01-10-2025,90026,Western,Bandra,1.00.00 PM,1.05.00 PM,5,FALSE,01-10-2025 13.00,01-10-2025 13.05,13,Moderate Delay
01-10-2025,11027,Central,Thane,1.30.00 PM,1.30.00 PM,0,FALSE,01-10-2025 13.30,01-10-2025 13.30,13,On-Time / Minor
01-10-2025,90028,Western,Andheri,2.00.00 PM,2.01.00 PM,1,FALSE,01-10-2025 14.00,01-10-2025 14.01,14,On-Time / Minor
01-10-2025,11029,Central,Karjat,2.30.00 PM,2.30.00 PM,0,FALSE,01-10-2025 14.30,01-10-2025 14.30,14,On-Time / Minor
01-10-2025,90030,Western,Andheri,3.00.00 PM,3.00.00 PM,0,FALSE,01-10-2025 15.00,01-10-2025 15.00,15,On-Time / Minor
01-10-2025,11031,Central,Dadar,3.30.00 PM,3.33.00 PM,3,FALSE,01-10-2025 15.30,01-10-2025 15.33,15,On-Time / Minor
01-10-2025,90032,Western,Dadar,4.00.00 PM,4.01.00 PM,1,FALSE,01-10-2025 16.00,01-10-2025 16.01,16,On-Time / Minor
01-10-2025,11033,Central,Thane,4.30.00 PM,4.32.00 PM,2,FALSE,01-10-2025 16.30,01-10-2025 16.32,16,On-Time / Minor
01-10-2025,90034,Western,Virar,5.00.00 PM,5.00.00 PM,0,FALSE,01-10-2025 17.00,01-10-2025 17.00,17,On-Time / Minor
01-10-2025,11035,Central,CSMT,5.30.00 PM,5.36.00 PM,6,FALSE,01-10-2025 17.30,01-10-2025 17.36,17,Moderate Delay
01-10-2025,90036,Western,Borivali,6.00.00 PM,6.03.00 PM,3,TRUE,01-10-2025 18.00,01-10-2025 18.03,18,On-Time / Minor
01-10-2025,11037,Central,Dadar,6.30.00 PM,6.35.00 PM,5,TRUE,01-10-2025 18.30,01-10-2025 18.35,18,Moderate Delay
01-10-2025,90038,Western,Dadar,7.00.00 PM,7.24.00 PM,24,TRUE,01-10-2025 19.00,01-10-2025 19.24,19,Severe Delay
01-10-2025,11039,Central,Thane,7.30.00 PM,7.35.00 PM,5,TRUE,01-10-2025 19.30,01-10-2025 19.35,19,Moderate Delay
01-10-2025,90040,Western,Churchgate,8.00.00 PM,8.02.00 PM,2,TRUE,01-10-2025 20.00,01-10-2025 20.02,20,On-Time / Minor
01-10-2025,11041,Central,Kalyan,8.30.00 PM,8.31.00 PM,1,TRUE,01-10-2025 20.30,01-10-2025 20.31,20,On-Time / Minor
01-10-2025,90042,Western,Churchgate,9.00.00 PM,9.03.00 PM,3,FALSE,01-10-2025 21.00,01-10-2025 21.03,21,On-Time / Minor
01-10-2025,11043,Central,Thane,9.30.00 PM,9.31.00 PM,1,FALSE,01-10-2025 21.30,01-10-2025 21.31,21,On-Time / Minor
01-10-2025,90044,Western,Bandra,10.00.00 PM,10.00.00 PM,0,FALSE,01-10-2025 22.00,01-10-2025 22.00,22,On-Time / Minor
01-10-2025,11045,Central,Kurla,10.30.00 PM,10.33.00 PM,3,FALSE,01-10-2025 22.30,01-10-2025 22.33,22,On-Time / Minor
01-10-2025,90046,Western,Bandra,11.00.00 PM,11.00.00 PM,0,FALSE,01-10-2025 23.00,01-10-2025 23.00,23,On-Time / Minor
01-10-2025,11047,Central,Dadar,11.30.00 PM,11.30.00 PM,0,FALSE,01-10-2025 23.30,01-10-2025 23.30,23,On-Time / Minor
02-10-2025,90048,Western,Churchgate,12.00.00 AM,12.02.00 AM,2,FALSE,02-10-2025 0.00,02-10-2025 0.02,0,On-Time / Minor
02-10-2025,11049,Central,Dadar,12.30.00 AM,12.30.00 AM,0,FALSE,02-10-2025 0.30,02-10-2025 0.30,0,On-Time / Minor
02-10-2025,90050,Western,Virar,1.00.00 AM,1.01.00 AM,1,FALSE,02-10-2025 1.00,02-10-2025 1.01,1,On-Time / Minor
02-10-2025,11051,Central,Kurla,1.30.00 AM,1.32.00 AM,2,FALSE,02-10-2025 1.30,02-10-2025 1.32,1,On-Time / Minor
02-10-2025,90052,Western,Virar,2.00.00 AM,2.04.00 AM,4,FALSE,02-10-2025 2.00,02-10-2025 2.04,2,Moderate Delay
02-10-2025,11053,Central,CSMT,2.30.00 AM,2.31.00 AM,1,FALSE,02-10-2025 2.30,02-10-2025 2.31,2,On-Time / Minor
02-10-2025,90054,Western,Virar,3.00.00 AM,3.04.00 AM,4,FALSE,02-10-2025 3.00,02-10-2025 3.04,3,Moderate Delay
02-10-2025,11055,Central,Kalyan,3.30.00 AM,3.32.00 AM,2,FALSE,02-10-2025 3.30,02-10-2025 3.32,3,On-Time / Minor
02-10-2025,90056,Western,Virar,4.00.00 AM,4.01.00 AM,1,FALSE,02-10-2025 4.00,02-10-2025 4.01,4,On-Time / Minor
02-10-2025,11057,Central,CSMT,4.30.00 AM,4.32.00 AM,2,FALSE,02-10-2025 4.30,02-10-2025 4.32,4,On-Time / Minor
02-10-2025,90058,Western,Dadar,5.00.00 AM,5.00.00 AM,0,FALSE,02-10-2025 5.00,02-10-2025 5.00,5,On-Time / Minor
02-10-2025,11059,Central,Kalyan,5.30.00 AM,5.30.00 AM,0,FALSE,02-10-2025 5.30,02-10-2025 5.30,5,On-Time / Minor
02-10-2025,90060,Western,Churchgate,6.00.00 AM,6.01.00 AM,1,FALSE,02-10-2025 6.00,02-10-2025 6.01,6,On-Time / Minor
02-10-2025,11061,Central,Thane,6.30.00 AM,6.35.00 AM,5,FALSE,02-10-2025 6.30,02-10-2025 6.35,6,Moderate Delay
02-10-2025,90062,Western,Borivali,7.00.00 AM,7.02.00 AM,2,FALSE,02-10-2025 7.00,02-10-2025 7.02,7,On-Time / Minor
02-10-2025,11063,Central,Kalyan,7.30.00 AM,7.31.00 AM,1,FALSE,02-10-2025 7.30,02-10-2025 7.31,7,On-Time / Minor
02-10-2025,90064,Western,Bandra,8.00.00 AM,8.08.00 AM,8,TRUE,02-10-2025 8.00,02-10-2025 8.08,8,Moderate Delay
02-10-2025,11065,Central,Thane,8.30.00 AM,8.49.00 AM,19,TRUE,02-10-2025 8.30,02-10-2025 8.49,8,Severe Delay
02-10-2025,90066,Western,Borivali,9.00.00 AM,9.02.00 AM,2,TRUE,02-10-2025 9.00,02-10-2025 9.02,9,On-Time / Minor
02-10-2025,11067,Central,Kalyan,9.30.00 AM,9.44.00 AM,14,TRUE,02-10-2025 9.30,02-10-2025 9.44,9,Severe Delay
02-10-2025,90068,Western,Andheri,10.00.00 AM,10.02.00 AM,2,TRUE,02-10-2025 10.00,02-10-2025 10.02,10,On-Time / Minor
02-10-2025,11069,Central,Thane,10.30.00 AM,10.46.00 AM,16,TRUE,02-10-2025 10.30,02-10-2025 10.46,10,Severe Delay
02-10-2025,90070,Western,Bandra,11.00.00 AM,11.01.00 AM,1,FALSE,02-10-2025 11.00,02-10-2025 11.01,11,On-Time / Minor
02-10-2025,11071,Central,Thane,11.30.00 AM,11.31.00 AM,1,FALSE,02-10-2025 11.30,02-10-2025 11.31,11,On-Time / Minor
02-10-2025,90072,Western,Virar,12.00.00 PM,12.00.00 PM,0,FALSE,02-10-2025 12.00,02-10-2025 12.00,12,On-Time / Minor
02-10-2025,11073,Central,CSMT,12.30.00 PM,12.32.00 PM,2,FALSE,02-10-2025 12.30,02-10-2025 12.32,12,On-Time / Minor
02-10-2025,90074,Western,Churchgate,1.00.00 PM,1.03.00 PM,3,FALSE,02-10-2025 13.00,02-10-2025 13.03,13,On-Time / Minor
02-10-2025,11075,Central,CSMT,1.30.00 PM,1.31.00 PM,1,FALSE,02-10-2025 13.30,02-10-2025 13.31,13,On-Time / Minor
02-10-2025,90076,Western,Virar,2.00.00 PM,2.01.00 PM,1,FALSE,02-10-2025 14.00,02-10-2025 14.01,14,On-Time / Minor
02-10-2025,11077,Central,CSMT,2.30.00 PM,2.31.00 PM,1,FALSE,02-10-2025 14.30,02-10-2025 14.31,14,On-Time / Minor
02-10-2025,90078,Western,Churchgate,3.00.00 PM,3.00.00 PM,0,FALSE,02-10-2025 15.00,02-10-2025 15.00,15,On-Time / Minor
02-10-2025,11079,Central,Thane,3.30.00 PM,3.31.00 PM,1,FALSE,02-10-2025 15.30,02-10-2025 15.31,15,On-Time / Minor
02-10-2025,90080,Western,Bandra,4.00.00 PM,4.01.00 PM,1,FALSE,02-10-2025 16.00,02-10-2025 16.01,16,On-Time / Minor
02-10-2025,11081,Central,CSMT,4.30.00 PM,4.31.00 PM,1,FALSE,02-10-2025 16.30,02-10-2025 16.31,16,On-Time / Minor
02-10-2025,90082,Western,Virar,5.00.00 PM,5.07.00 PM,7,FALSE,02-10-2025 17.00,02-10-2025 17.07,17,Moderate Delay
02-10-2025,11083,Central,Thane,5.30.00 PM,5.31.00 PM,1,FALSE,02-10-2025 17.30,02-10-2025 17.31,17,On-Time / Minor
02-10-2025,90084,Western,Dadar,6.00.00 PM,6.09.00 PM,9,TRUE,02-10-2025 18.00,02-10-2025 18.09,18,Moderate Delay
02-10-2025,11085,Central,Kalyan,6.30.00 PM,6.32.00 PM,2,TRUE,02-10-2025 18.30,02-10-2025 18.32,18,On-Time / Minor
02-10-2025,90086,Western,Churchgate,7.00.00 PM,7.02.00 PM,2,TRUE,02-10-2025 19.00,02-10-2025 19.02,19,On-Time / Minor
02-10-2025,11087,Central,Dadar,7.30.00 PM,7.35.00 PM,5,TRUE,02-10-2025 19.30,02-10-2025 19.35,19,Moderate Delay
02-10-2025,90088,Western,Virar,8.00.00 PM,8.00.00 PM,0,TRUE,02-10-2025 20.00,02-10-2025 20.00,20,On-Time / Minor
02-10-2025,11089,Central,CSMT,8.30.00 PM,8.37.00 PM,7,TRUE,02-10-2025 20.30,02-10-2025 20.37,20,Moderate Delay
02-10-2025,90090,Western,Virar,9.00.00 PM,9.00.00 PM,0,FALSE,02-10-2025 21.00,02-10-2025 21.00,21,On-Time / Minor
02-10-2025,11091,Central,Thane,9.30.00 PM,9.31.00 PM,1,FALSE,02-10-2025 21.30,02-10-2025 21.31,21,On-Time / Minor
02-10-2025,90092,Western,Virar,10.00.00 PM,10.01.00 PM,1,FALSE,02-10-2025 22.00,02-10-2025 22.01,22,On-Time / Minor
02-10-2025,11093,Central,Thane,10.30.00 PM,10.30.00 PM,0,FALSE,02-10-2025 22.30,02-10-2025 22.30,22,On-Time / Minor
02-10-2025,90094,Western,Bandra,11.00.00 PM,11.01.00 PM,1,FALSE,02-10-2025 23.00,02-10-2025 23.01,23,On-Time / Minor
02-10-2025,11095,Central,Karjat,11.30.00 PM,11.31.00 PM,1,FALSE,02-10-2025 23.30,02-10-2025 23.31,23,On-Time / Minor
03-10-2025,90096,Western,Andheri,12.00.00 AM,12.08.00 AM,8,FALSE,03-10-2025 0.00,03-10-2025 0.08,0,Moderate Delay
03-10-2025,11097,Central,Karjat,12.30.00 AM,12.32.00 AM,2,FALSE,03-10-2025 0.30,03-10-2025 0.32,0,On-Time / Minor
03-10-2025,90098,Western,Churchgate,1.00.00 AM,1.00.00 AM,0,FALSE,03-10-2025 1.00,03-10-2025 1.00,1,On-Time / Minor
03-10-2025,11099,Central,Kurla,1.30.00 AM,1.30.00 AM,0,FALSE,03-10-2025 1.30,03-10-2025 1.30,1,On-Time / Minor
03-10-2025,90000,Western,Borivali,2.00.00 AM,2.04.00 AM,4,FALSE,03-10-2025 2.00,03-10-2025 2.04,2,Moderate Delay
03-10-2025,11001,Central,Thane,2.30.00 AM,2.32.00 AM,2,FALSE,03-10-2025 2.30,03-10-2025 2.32,2,On-Time / Minor
03-10-2025,90002,Western,Bandra,3.00.00 AM,3.02.00 AM,2,FALSE,03-10-2025 3.00,03-10-2025 3.02,3,On-Time / Minor
03-10-2025,11003,Central,Kurla,3.30.00 AM,3.31.00 AM,1,FALSE,03-10-2025 3.30,03-10-2025 3.31,3,On-Time / Minor
03-10-2025,90004,Western,Andheri,4.00.00 AM,4.06.00 AM,6,FALSE,03-10-2025 4.00,03-10-2025 4.06,4,Moderate Delay
03-10-2025,11005,Central,Dadar,4.30.00 AM,4.34.00 AM,4,FALSE,03-10-2025 4.30,03-10-2025 4.34,4,Moderate Delay
03-10-2025,90006,Western,Bandra,5.00.00 AM,5.01.00 AM,1,FALSE,03-10-2025 5.00,03-10-2025 5.01,5,On-Time / Minor
03-10-2025,11007,Central,CSMT,5.30.00 AM,5.30.00 AM,0,FALSE,03-10-2025 5.30,03-10-2025 5.30,5,On-Time / Minor
03-10-2025,90008,Western,Virar,6.00.00 AM,6.02.00 AM,2,FALSE,03-10-2025 6.00,03-10-2025 6.02,6,On-Time / Minor
03-10-2025,11009,Central,Thane,6.30.00 AM,6.30.00 AM,0,FALSE,03-10-2025 6.30,03-10-2025 6.30,6,On-Time / Minor
03-10-2025,90010,Western,Churchgate,7.00.00 AM,7.01.00 AM,1,FALSE,03-10-2025 7.00,03-10-2025 7.01,7,On-Time / Minor
03-10-2025,11011,Central,CSMT,7.30.00 AM,7.31.00 AM,1,FALSE,03-10-2025 7.30,03-10-2025 7.31,7,On-Time / Minor
03-10-2025,90012,Western,Virar,8.00.00 AM,8.16.00 AM,16,TRUE,03-10-2025 8.00,03-10-2025 8.16,8,Severe Delay
03-10-2025,11013,Central,Kalyan,8.30.00 AM,8.45.00 AM,15,TRUE,03-10-2025 8.30,03-10-2025 8.45,8,Severe Delay
03-10-2025,90014,Western,Churchgate,9.00.00 AM,9.02.00 AM,2,TRUE,03-10-2025 9.00,03-10-2025 9.02,9,On-Time / Minor
03-10-2025,11015,Central,Kurla,9.30.00 AM,9.39.00 AM,9,TRUE,03-10-2025 9.30,03-10-2025 9.39,9,Moderate Delay
03-10-2025,90016,Western,Bandra,10.00.00 AM,10.14.00 AM,14,TRUE,03-10-2025 10.00,03-10-2025 10.14,10,Severe Delay
03-10-2025,11017,Central,Karjat,10.30.00 AM,10.41.00 AM,11,TRUE,03-10-2025 10.30,03-10-2025 10.41,10,Severe Delay
03-10-2025,90018,Western,Andheri,11.00.00 AM,11.00.00 AM,0,FALSE,03-10-2025 11.00,03-10-2025 11.00,11,On-Time / Minor
03-10-2025,11019,Central,Thane,11.30.00 AM,11.35.00 AM,5,FALSE,03-10-2025 11.30,03-10-2025 11.35,11,Moderate Delay
03-10-2025,90020,Western,Andheri,12.00.00 PM,12.02.00 PM,2,FALSE,03-10-2025 12.00,03-10-2025 12.02,12,On-Time / Minor
03-10-2025,11021,Central,Karjat,12.30.00 PM,12.36.00 PM,6,FALSE,03-10-2025 12.30,03-10-2025 12.36,12,Moderate Delay
03-10-2025,90022,Western,Churchgate,1.00.00 PM,1.00.00 PM,0,FALSE,03-10-2025 13.00,03-10-2025 13.00,13,On-Time / Minor
03-10-2025,11023,Central,Karjat,1.30.00 PM,1.32.00 PM,2,FALSE,03-10-2025 13.30,03-10-2025 13.32,13,On-Time / Minor
03-10-2025,90024,Western,Virar,2.00.00 PM,2.01.00 PM,1,FALSE,03-10-2025 14.00,03-10-2025 14.01,14,On-Time / Minor
03-10-2025,11025,Central,Kalyan,2.30.00 PM,2.31.00 PM,1,FALSE,03-10-2025 14.30,03-10-2025 14.31,14,On-Time / Minor
03-10-2025,90026,Western,Churchgate,3.00.00 PM,3.00.00 PM,0,FALSE,03-10-2025 15.00,03-10-2025 15.00,15,On-Time / Minor
03-10-2025,11027,Central,Karjat,3.30.00 PM,3.31.00 PM,1,FALSE,03-10-2025 15.30,03-10-2025 15.31,15,On-Time / Minor
03-10-2025,90028,Western,Andheri,4.00.00 PM,4.01.00 PM,1,FALSE,03-10-2025 16.00,03-10-2025 16.01,16,On-Time / Minor
03-10-2025,11029,Central,Kurla,4.30.00 PM,4.32.00 PM,2,FALSE,03-10-2025 16.30,03-10-2025 16.32,16,On-Time / Minor
03-10-2025,90030,Western,Churchgate,5.00.00 PM,5.02.00 PM,2,FALSE,03-10-2025 17.00,03-10-2025 17.02,17,On-Time / Minor
03-10-2025,11031,Central,Kurla,5.30.00 PM,5.31.00 PM,1,FALSE,03-10-2025 17.30,03-10-2025 17.31,17,On-Time / Minor
03-10-2025,90032,Western,Virar,6.00.00 PM,6.02.00 PM,2,TRUE,03-10-2025 18.00,03-10-2025 18.02,18,On-Time / Minor
03-10-2025,11033,Central,Karjat,6.30.00 PM,6.57.00 PM,27,TRUE,03-10-2025 18.30,03-10-2025 18.57,18,Severe Delay
03-10-2025,90034,Western,Bandra,7.00.00 PM,7.16.00 PM,16,TRUE,03-10-2025 19.00,03-10-2025 19.16,19,Severe Delay
03-10-2025,11035,Central,Kurla,7.30.00 PM,7.34.00 PM,4,TRUE,03-10-2025 19.30,03-10-2025 19.34,19,Moderate Delay
03-10-2025,90036,Western,Borivali,8.00.00 PM,8.05.00 PM,5,TRUE,03-10-2025 20.00,03-10-2025 20.05,20,Moderate Delay
03-10-2025,11037,Central,Thane,8.30.00 PM,8.38.00 PM,8,TRUE,03-10-2025 20.30,03-10-2025 20.38,20,Moderate Delay
03-10-2025,90038,Western,Churchgate,9.00.00 PM,9.00.00 PM,0,FALSE,03-10-2025 21.00,03-10-2025 21.00,21,On-Time / Minor
03-10-2025,11039,Central,Kalyan,9.30.00 PM,9.31.00 PM,1,FALSE,03-10-2025 21.30,03-10-2025 21.31,21,On-Time / Minor
03-10-2025,90040,Western,Andheri,10.00.00 PM,10.00.00 PM,0,FALSE,03-10-2025 22.00,03-10-2025 22.00,22,On-Time / Minor
03-10-2025,11041,Central,CSMT,10.30.00 PM,10.30.00 PM,0,FALSE,03-10-2025 22.30,03-10-2025 22.30,22,On-Time / Minor
03-10-2025,90042,Western,Andheri,11.00.00 PM,11.06.00 PM,6,FALSE,03-10-2025 23.00,03-10-2025 23.06,23,Moderate Delay
03-10-2025,11043,Central,Kalyan,11.30.00 PM,11.31.00 PM,1,FALSE,03-10-2025 23.30,03-10-2025 23.31,23,On-Time / Minor
04-10-2025,90044,Western,Virar,12.00.00 AM,12.01.00 AM,1,FALSE,04-10-2025 0.00,04-10-2025 0.01,0,On-Time / Minor
04-10-2025,11045,Central,CSMT,12.30.00 AM,12.36.00 AM,6,FALSE,04-10-2025 0.30,04-10-2025 0.36,0,Moderate Delay
04-10-2025,90046,Western,Borivali,1.00.00 AM,1.01.00 AM,1,FALSE,04-10-2025 1.00,04-10-2025 1.01,1,On-Time / Minor
04-10-2025,11047,Central,Kalyan,1.30.00 AM,1.32.00 AM,2,FALSE,04-10-2025 1.30,04-10-2025 1.32,1,On-Time / Minor
04-10-2025,90048,Western,Andheri,2.00.00 AM,2.04.00 AM,4,FALSE,04-10-2025 2.00,04-10-2025 2.04,2,Moderate Delay
04-10-2025,11049,Central,Kalyan,2.30.00 AM,2.31.00 AM,1,FALSE,04-10-2025 2.30,04-10-2025 2.31,2,On-Time / Minor
04-10-2025,90050,Western,Churchgate,3.00.00 AM,3.01.00 AM,1,FALSE,04-10-2025 3.00,04-10-2025 3.01,3,On-Time / Minor
04-10-2025,11051,Central,Dadar,3.30.00 AM,3.32.00 AM,2,FALSE,04-10-2025 3.30,04-10-2025 3.32,3,On-Time / Minor
04-10-2025,90052,Western,Virar,4.00.00 AM,4.02.00 AM,2,FALSE,04-10-2025 4.00,04-10-2025 4.02,4,On-Time / Minor
04-10-2025,11053,Central,Karjat,4.30.00 AM,4.30.00 AM,0,FALSE,04-10-2025 4.30,04-10-2025 4.30,4,On-Time / Minor
04-10-2025,90054,Western,Virar,5.00.00 AM,5.01.00 AM,1,FALSE,04-10-2025 5.00,04-10-2025 5.01,5,On-Time / Minor
04-10-2025,11055,Central,Kurla,5.30.00 AM,5.31.00 AM,1,FALSE,04-10-2025 5.30,04-10-2025 5.31,5,On-Time / Minor
04-10-2025,90056,Western,Dadar,6.00.00 AM,6.03.00 AM,3,FALSE,04-10-2025 6.00,04-10-2025 6.03,6,On-Time / Minor
04-10-2025,11057,Central,CSMT,6.30.00 AM,6.30.00 AM,0,FALSE,04-10-2025 6.30,04-10-2025 6.30,6,On-Time / Minor
04-10-2025,90058,Western,Virar,7.00.00 AM,7.01.00 AM,1,FALSE,04-10-2025 7.00,04-10-2025 7.01,7,On-Time / Minor
04-10-2025,11059,Central,Kalyan,7.30.00 AM,7.31.00 AM,1,FALSE,04-10-2025 7.30,04-10-2025 7.31,7,On-Time / Minor
04-10-2025,90060,Western,Dadar,8.00.00 AM,8.12.00 AM,12,TRUE,04-10-2025 8.00,04-10-2025 8.12,8,Severe Delay
04-10-2025,11061,Central,CSMT,8.30.00 AM,8.37.00 AM,7,TRUE,04-10-2025 8.30,04-10-2025 8.37,8,Moderate Delay
04-10-2025,90062,Western,Andheri,9.00.00 AM,9.05.00 AM,5,TRUE,04-10-2025 9.00,04-10-2025 9.05,9,Moderate Delay
04-10-2025,11063,Central,CSMT,9.30.00 AM,9.37.00 AM,7,TRUE,04-10-2025 9.30,04-10-2025 9.37,9,Moderate Delay
04-10-2025,90064,Western,Andheri,10.00.00 AM,10.07.00 AM,7,TRUE,04-10-2025 10.00,04-10-2025 10.07,10,Moderate Delay
04-10-2025,11065,Central,Karjat,10.30.00 AM,10.41.00 AM,11,TRUE,04-10-2025 10.30,04-10-2025 10.41,10,Severe Delay
04-10-2025,90066,Western,Andheri,11.00.00 AM,11.04.00 AM,4,FALSE,04-10-2025 11.00,04-10-2025 11.04,11,Moderate Delay
04-10-2025,11067,Central,Thane,11.30.00 AM,11.32.00 AM,2,FALSE,04-10-2025 11.30,04-10-2025 11.32,11,On-Time / Minor
04-10-2025,90068,Western,Virar,12.00.00 PM,12.01.00 PM,1,FALSE,04-10-2025 12.00,04-10-2025 12.01,12,On-Time / Minor
04-10-2025,11069,Central,Dadar,12.30.00 PM,12.32.00 PM,2,FALSE,04-10-2025 12.30,04-10-2025 12.32,12,On-Time / Minor
04-10-2025,90070,Western,Borivali,1.00.00 PM,1.04.00 PM,4,FALSE,04-10-2025 13.00,04-10-2025 13.04,13,Moderate Delay
04-10-2025,11071,Central,Dadar,1.30.00 PM,1.30.00 PM,0,FALSE,04-10-2025 13.30,04-10-2025 13.30,13,On-Time / Minor
04-10-2025,90072,Western,Andheri,2.00.00 PM,2.00.00 PM,0,FALSE,04-10-2025 14.00,04-10-2025 14.00,14,On-Time / Minor
04-10-2025,11073,Central,Karjat,2.30.00 PM,2.32.00 PM,2,FALSE,04-10-2025 14.30,04-10-2025 14.32,14,On-Time / Minor
04-10-2025,90074,Western,Borivali,3.00.00 PM,3.01.00 PM,1,FALSE,04-10-2025 15.00,04-10-2025 15.01,15,On-Time / Minor
04-10-2025,11075,Central,Kalyan,3.30.00 PM,3.31.00 PM,1,FALSE,04-10-2025 15.30,04-10-2025 15.31,15,On-Time / Minor
04-10-2025,90076,Western,Andheri,4.00.00 PM,4.02.00 PM,2,FALSE,04-10-2025 16.00,04-10-2025 16.02,16,On-Time / Minor
04-10-2025,11077,Central,Thane,4.30.00 PM,4.34.00 PM,4,FALSE,04-10-2025 16.30,04-10-2025 16.34,16,Moderate Delay
04-10-2025,90078,Western,Andheri,5.00.00 PM,5.01.00 PM,1,FALSE,04-10-2025 17.00,04-10-2025 17.01,17,On-Time / Minor
04-10-2025,11079,Central,Kurla,5.30.00 PM,5.32.00 PM,2,FALSE,04-10-2025 17.30,04-10-2025 17.32,17,On-Time / Minor
04-10-2025,90080,Western,Andheri,6.00.00 PM,6.01.00 PM,1,TRUE,04-10-2025 18.00,04-10-2025 18.01,18,On-Time / Minor
04-10-2025,11081,Central,Dadar,6.30.00 PM,6.35.00 PM,5,TRUE,04-10-2025 18.30,04-10-2025 18.35,18,Moderate Delay
04-10-2025,90082,Western,Virar,7.00.00 PM,7.00.00 PM,0,TRUE,04-10-2025 19.00,04-10-2025 19.00,19,On-Time / Minor
